Institution Name,Main Office,Branch Name,Branch Number,Established Date,Acquired Date,Street Address,City,County,State,Zipcode,Latitude,Longitude,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits,Branch Age,Year_Since_Acquisition,Total_Deposits,Growth_%,CAGR
JPMorgan Chase Bank,0,Amityville Driveup Branch,174,1954-06-14,1975-01-18,4 John St,Amityville,Suffolk,NY,11701,40.67894,-73.41969,93106.0,92272.0,96994.0,118907.0,115708.0,120730.0,125922,72,51,763639.0,35.245848817476855,5.1608264795945935
JPMorgan Chase Bank,0,Babylon Branch,176,1955-07-03,1975-01-18,31 West Main Street,Babylon,Suffolk,NY,11702,40.69642,-73.32368,261976.0,262704.0,261589.0,289395.0,281756.0,292377.0,314562,71,51,1964359.0,20.072831099031973,3.0957569776912885
JPMorgan Chase Bank,0,Center Moriches Main St Branch,178,1955-07-11,1975-01-18,366 Main St,Center Moriches,Suffolk,NY,11934,40.80038,-72.79423,109615.0,108206.0,115658.0,116485.0,119196.0,124078.0,125948,71,51,819186.0,14.900332983624503,2.3419170603715456
JPMorgan Chase Bank,0,Deer Park Grand Blvd Branch,184,1965-01-21,1975-01-18,615 Grand Boulevard,Deer Park,Suffolk,NY,11729,40.75895,-73.32,161904.0,163054.0,172441.0,186840.0,194550.0,211782.0,245797,61,51,1336368.0,51.81650854827552,7.206182922818827
JPMorgan Chase Bank,0,East Northportlarkfield Rd Branch,186,1950-04-11,1975-01-18,271 Larkfield Road,East Northport,Suffolk,NY,11731,40.87534,-73.32424,112628.0,113621.0,113899.0,121359.0,128286.0,129058.0,135773,76,51,854624.0,20.549952054551266,3.1639210273555207
JPMorgan Chase Bank,0,Bar Harbour Branch,193,1957-11-05,1975-01-18,4970 Merrick Road,Massapequa Park,Nassau,NY,11762,40.66638,-73.45151,144089.0,140839.0,154233.0,182186.0,183189.0,191372.0,225002,69,51,1220910.0,56.15487649994101,7.710801735051653
JPMorgan Chase Bank,0,Melville Branch,197,1958-12-15,1975-01-18,115 Broad Hollow Road,Melville,Suffolk,NY,11747,40.78894,-73.41543,150161.0,175267.0,196333.0,211336.0,228141.0,238768.0,257023,68,51,1457029.0,71.1649496207404,9.371072981121277
JPMorgan Chase Bank,0,North Bellmore Branch,198,1956-10-20,1975-01-18,1542 Bellmore Avenue,North Bellmore,Nassau,NY,11710,40.68369,-73.53926,118453.0,120413.0,120700.0,129811.0,140842.0,145634.0,160506,70,51,936359.0,35.501844613475384,5.193975398838724
JPMorgan Chase Bank,0,Northport Main St Branch,200,1952-12-23,1975-01-18,54 Main Street,Northport,Suffolk,NY,11768,40.90022,-73.35111,114464.0,124469.0,123740.0,130417.0,146551.0,148851.0,161857,74,51,950349.0,41.40428431646631,5.944177747054713
JPMorgan Chase Bank,0,Riverhead Shopping Center Branch,204,1957-07-15,1975-01-18,1450 Old Country Road,Riverhead,Suffolk,NY,11901,40.92665,-72.68985,18110.0,22493.0,30425.0,34501.0,37364.0,42626.0,51220,69,51,236739.0,182.82716731087797,18.91962215262022
